id,institutionCode,collectionCode,ownerInstitutionCode,basisOfRecord,occurrenceID,catalogNumber,otherCatalogNumbers,kingdom,phylum,class,order,family,scientificName,taxonID,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identifiedBy,dateIdentified,identificationReferences,identificationRemarks,taxonRemarks,identificationQualifier,typeStatus,recordedBy,recordedByID,associatedCollectors,recordNumber,eventDate,year,month,day,startDayOfYear,endDayOfYear,verbatimEventDate,occurrenceRemarks,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,dynamicProperties,associatedTaxa,associatedOccurrences,reproductiveCondition,establishmentMeans,cultivationStatus,lifeStage,sex,individualCount,samplingProtocol,samplingEffort,preparations,country,stateProvince,county,municipality,locality,locationRemarks,localitySecurity,localitySecurityReason,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,verbatimCoordinates,georeferencedBy,georeferenceProtocol,georeferenceSources,georeferenceVerificationStatus,georeferenceRemarks,minimumElevationInMeters,maximumElevationInMeters,minimumDepthInMeters,maximumDepthInMeters,verbatimDepth,verbatimElevation,disposition,language,recordEnteredBy,modified,sourcePrimaryKey-dbpk,collId,recordId,references
25341612,USDA-ARS,BBSL,,PRESERVED_SPECIMEN,,BBSL173670,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"T.L. Griswold 1996",,,,,,,,,,,1943-05-02,1943,5,2,122,,1943-05-02T02:00Z,,,,,,,,,,,,,,,,,,,,"United States","New York",Suffolk,,"Greenport, Long Island",,0,,41.1034,-72.3592,,,,,,,,,,,,,,,,,,"2017-01-12 10:29:16",BBSL173670,122,urn:uuid:40ceacf1-69bc-44e3-94e2-2616938157fd,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=25341612
25341613,USDA-ARS,BBSL,,PRESERVED_SPECIMEN,,BBSL173814,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"T.L. Griswold 1996",,,,,,,,,,,1918-07-27,1918,7,27,208,,1918-07-27T01:00Z,,,,,,,,,,,,,,,,,,,,"United States","New Jersey",Morris,,"Lake Denmark, N of Dover",,0,,40.96487,-74.526,,,,,,,,,,,,,,,,,,"2017-01-12 10:29:16",BBSL173814,122,urn:uuid:dc2d14fa-d16d-43f6-a375-8a114f0db1d6,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=25341613
25341614,USDA-ARS,BBSL,,PRESERVED_SPECIMEN,,BBSL173672,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"T.L. Griswold 1996",,,,,,,,,,,1909-08-13,1909,8,13,225,,1909-08-13T01:00Z,,,,,,,,,,,,,,,,,,,,"United States",Wisconsin,St.Croix,,"North Hudson",,0,,,,,,,,,,,,,,,,,,,,,"2017-01-12 10:29:16",BBSL173672,122,urn:uuid:8f72900a-a35d-443a-a3fb-7a0145e274a1,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=25341614
25341615,USDA-ARS,BBSL,,PRESERVED_SPECIMEN,,BBSL174628,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"T.L. Griswold 1996",,,,,,,,,,,1920-08-26,1920,8,26,239,,1920-08-26T01:00Z,,,,,,,,,,,,,,,,,,,,"United States","New York",Rockland,,"West Nyack",,0,,41.0964,-73.9729,,,,,,,,,,,,,,,,,,"2017-01-12 10:29:16",BBSL174628,122,urn:uuid:a9061442-e191-4c3c-bdad-e05eac01c16d,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=25341615
25341616,USDA-ARS,BBSL,,PRESERVED_SPECIMEN,,BBSL173762,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"T.L. Griswold 1996",,,,,,,,,,,1910-08-04,1910,8,4,216,,1910-08-04T01:00Z,,,,,,,,,,,,,,,,,,,,"United States",Wisconsin,Pierce,,"Maiden Rock",,0,,,,,,,,,,,,,,,,,,,,,"2017-01-12 10:29:16",BBSL173762,122,urn:uuid:826a769e-f56e-485e-8556-67d9ce1a00f9,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=25341616
25341617,USDA-ARS,BBSL,,PRESERVED_SPECIMEN,,BBSL173793,,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"T.L. Griswold 1996",,,,,,,,,,,1910-07-15,1910,7,15,196,,1910-07-15T01:00Z,,,,,,,,,,,,,,,,,,,,"United States",Wisconsin,Pierce,,Prescott,,0,,,,,,,,,,,,,,,,,,,,,"2017-01-12 10:29:16",BBSL173793,122,urn:uuid:738be0d1-f381-46cd-91bd-4f9e98c39dfe,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=25341617
27363932,"University of Guelph, Centre for Biodiversity Genomics",BIOUG,,PreservedSpecimen,09BBEHY-0513,BBHEC482-09,09BBEHY-0513,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Julie K. Stahlhut",,,,,,,"BIObus 2009",,,,2009-08-03,2009,8,3,215,,,,"Riparian Zone",,,L#09KJ-107,,,,,,,,,Adult,,,,,,Canada,"Nova Scotia",,,"Kejimkujik NP|Grafton Lake","Kejimkujik NP",0,,44.38,-65.2,,,,,,,,,103,103,,,,,"Vouchered:Registered Collection",en,,"2018-10-17 05:44:00",09BBEHY-0513,135,urn:uuid:1390f60e-1d32-4a35-a276-ffbc70c28813,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=27363932
27363933,"University of Guelph, Centre for Biodiversity Genomics",BIOUG,,PreservedSpecimen,09BBEHY-0514,BBHEC483-09,09BBEHY-0514,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Julie K. Stahlhut",,,,,,,"BIObus 2009",,,,2009-08-03,2009,8,3,215,,,,"Riparian Zone",,,L#09KJ-107,,,,,,,,,Adult,,,,,,Canada,"Nova Scotia",,,"Kejimkujik NP|Grafton Lake","Kejimkujik NP",0,,44.38,-65.2,,,,,,,,,103,103,,,,,"Vouchered:Registered Collection",en,,"2018-10-17 05:44:00",09BBEHY-0514,135,urn:uuid:d37cf2fa-ee67-47b8-8ebc-b45b18f6b1e0,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=27363933
27363934,"University of Guelph, Centre for Biodiversity Genomics",BIOUG,,PreservedSpecimen,09BBEHY-0515,BBHEC484-09,09BBEHY-0515,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Julie K. Stahlhut",,,,,,,"BIObus 2009",,,,2009-08-03,2009,8,3,215,,,,"Riparian Zone",,,L#09KJ-107,,,,,,,,,Adult,,,,,,Canada,"Nova Scotia",,,"Kejimkujik NP|Grafton Lake","Kejimkujik NP",0,,44.38,-65.2,,,,,,,,,103,103,,,,,"Vouchered:Registered Collection",en,,"2018-10-17 05:44:00",09BBEHY-0515,135,urn:uuid:ce005e6f-ed86-47b8-9135-bf32dd17fdad,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=27363934
27363935,"University of Guelph, Centre for Biodiversity Genomics",BIOUG,,PreservedSpecimen,09BBEHY-0516,BBHEC485-09,09BBEHY-0516,Animalia,Arthropoda,Insecta,Hymenoptera,Halictidae,"Dufourea novaeangliae",180132,"(Robertson, 1897)",Dufourea,novaeangliae,,,"Julie K. Stahlhut",,,,,,,"BIObus 2009",,,,2009-08-03,2009,8,3,215,,,,"Riparian Zone",,,L#09KJ-107,,,,,,,,,Adult,,,,,,Canada,"Nova Scotia",,,"Kejimkujik NP|Grafton Lake","Kejimkujik NP",0,,44.38,-65.2,,,,,,,,,103,103,,,,,"Vouchered:Registered Collection",en,,"2018-10-17 05:44:00",09BBEHY-0516,135,urn:uuid:60c97c32-363f-4d6f-ae00-bf0dd162eadd,https://scan-bugs.org:443/portal/collections/individual/index.php?occid=27363935
