gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2850910090	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90351729/original.jpg?1597618497	https://www.inaturalist.org/photos/90351729					2020-08-16T17:07:25Z	birders130		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	birders130
2850909183	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90468639/original.jpg?1597683402	https://www.inaturalist.org/photos/90468639					2020-08-17T16:56:19Z	loracxer		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	loracxer
2850903095	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90307809/original.jpeg?1597604390	https://www.inaturalist.org/photos/90307809					2020-08-15T02:26:21Z	prorenatura		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	prorenatura
2850903095	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90307769/original.jpeg?1597604381	https://www.inaturalist.org/photos/90307769					2020-08-15T02:26:19Z	prorenatura		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	prorenatura
2850894546	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89613822/original.jpeg?1597254543	https://www.inaturalist.org/photos/89613822					2020-08-12T18:41:59Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
2850894546	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89613672/original.jpeg?1597254489	https://www.inaturalist.org/photos/89613672					2020-08-12T18:41:19Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
2850894546	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89613897/original.jpeg?1597254568	https://www.inaturalist.org/photos/89613897					2020-08-12T18:42:17Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
2850879078	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90254351/original.jpg?1597587625	https://www.inaturalist.org/photos/90254351					2020-07-13T15:05:25Z	megelias		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	megelias
2850877551	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90991843/original.jpg?1597958280	https://www.inaturalist.org/photos/90991843					2020-08-18T23:54:33Z	harrisonpriebe		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	harrisonpriebe
2850873550	StillImage	image/jpeg	https://static.inaturalist.org/photos/89775343/original.jpg?1597340644	https://www.inaturalist.org/photos/89775343					2020-08-08T01:11:11Z	Melinda Thompson		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Melinda Thompson
2850869899	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/88942093/original.jpg?1596920900	https://www.inaturalist.org/photos/88942093					2020-08-08T00:47:08Z	Andrea Kingsley		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Andrea Kingsley
2850867948	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90178222/original.jpeg?1597539589	https://www.inaturalist.org/photos/90178222					2020-08-15T22:38:44Z	Jessica Schnell		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jessica Schnell
2850867948	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90178285/original.jpeg?1597539621	https://www.inaturalist.org/photos/90178285					2020-08-15T03:07:45Z	Jessica Schnell		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Jessica Schnell
2850851105	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89164845/original.jpg?1597016397	https://www.inaturalist.org/photos/89164845					2020-07-10T22:07:26Z	Charles Francis		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Charles Francis
2850850595	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/88644056/original.jpg?1596762647	https://www.inaturalist.org/photos/88644056					2020-08-06T19:23:33Z	Ann Schunior		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ann Schunior
2850844134	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90332316/original.jpeg?1597611580	https://www.inaturalist.org/photos/90332316					2020-08-16T17:54:59Z	Sara Rall		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Sara Rall
2850838179	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89239480/original.jpeg?1597062180	https://www.inaturalist.org/photos/89239480					2020-08-07T06:06:16Z	Biz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Biz
2850838179	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89239493/original.jpeg?1597062188	https://www.inaturalist.org/photos/89239493					2020-08-07T06:06:23Z	Biz		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Biz
2850835039	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90280764/original.jpeg?1597596522	https://www.inaturalist.org/photos/90280764					2020-08-16T16:48:27Z	apiercey01		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	apiercey01
2850833171	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90381406/original.jpeg?1597630300	https://www.inaturalist.org/photos/90381406					2020-08-12T20:22:19Z	Rob Routledge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rob Routledge
2850824178	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90378281/original.jpeg?1597629025	https://www.inaturalist.org/photos/90378281					2020-08-12T19:28:21Z	Rob Routledge		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Rob Routledge
2850819552	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90885757/original.jpg?1597899646	https://www.inaturalist.org/photos/90885757					2020-07-06T17:42:12Z	shin_alpha		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shin_alpha
2850819552	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90885775/original.jpg?1597899662	https://www.inaturalist.org/photos/90885775					2020-07-06T17:42:12Z	shin_alpha		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	shin_alpha
2850805513	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89605805/original.jpeg?1597251400	https://www.inaturalist.org/photos/89605805					2020-08-12T13:48:42Z	Matt Osborne		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Matt Osborne
2850805180	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90503330/original.jpeg?1597696606	https://www.inaturalist.org/photos/90503330					2020-08-14T16:43:29Z	maeve		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	maeve
2850791655	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/88644035/original.jpg?1596762635	https://www.inaturalist.org/photos/88644035					2020-08-06T19:13:14Z	Ann Schunior		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Ann Schunior
2850782012	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90168994/original.jpg?1597534947	https://www.inaturalist.org/photos/90168994					2020-08-15T22:44:06Z	dawndh		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	dawndh
2850771682	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89914421/original.jpg?1597418767	https://www.inaturalist.org/photos/89914421					2020-08-14T14:21:08Z	bryangmacdonald		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bryangmacdonald
2850765040	StillImage	image/jpeg	https://static.inaturalist.org/photos/90302189/original.jpg?1597602919	https://www.inaturalist.org/photos/90302189					2020-08-14T21:24:35Z	Jonathan Layman		iNaturalist	http://creativecommons.org/licenses/by/4.0/	Jonathan Layman
2850763722	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/89921125/original.jpg?1597421424	https://www.inaturalist.org/photos/89921125					2020-08-14T14:59:55Z	Clare Kilgour		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Clare Kilgour
2850761065	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90323754/original.jpg?1597609066	https://www.inaturalist.org/photos/90323754					2020-08-15T19:11:38Z	jason_miller		iNaturalist	http://creativecommons.org/licenses/by-nc-sa/4.0/	jason_miller
2850759065	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/90303151/original.jpeg?1597603199	https://www.inaturalist.org/photos/90303151					2020-08-16T18:39:16Z	michelbeaudoin		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	michelbeaudoin
