spp,lon,lat
Aa,-74.32904,45.65361
Aa,-75.07043,44.40464
Aa,-79.13578,45.16544
Aa,-73.85297,45.98213
Aa,-70.15351,44.60991
Aa,-71.42089,43.54718
Aa,-71.88455,45.87524
Aa,-71.06521,42.90449
Aa,-72.25072,43.144
Aa,-72.0547,45.71347
Aa,-77.42134,41.8699
Aa,-74.54933,45.83039
Aa,-76.93295,44.71849
Aa,-77.36991,42.54362
Aa,-78.19161,42.39655
Aa,-71.11029,43.40004
Aa,-73.20969,42.70802
Aa,-72.47416,45.05853
Aa,-73.71478,44.11003
Aa,-75.10221,45.93219
Aa,-73.40711,45.95676
Aa,-71.87252,42.33701
Aa,-78.20067,44.5179
Aa,-77.68707,44.15168
Aa,-71.65651,41.98685
Aa,-79.09346,41.92078
Aa,-72.70968,43.77648
Aa,-76.32892,43.36698
Aa,-71.37861,45.76917
Aa,-79.45536,45.15786
Aa,-72.13054,43.81453
Aa,-73.99363,45.05634
Aa,-72.27237,45.55943
Aa,-79.98091,40.58952
Aa,-75.36367,43.45453
Aa,-71.05404,43.00623
Aa,-71.4613,44.498
Aa,-79.62968,45.66294
Aa,-79.03739,43.83146
Aa,-72.28186,45.25546
Aa,-72.14144,45.15525
Aa,-77.34139,42.78209
Aa,-77.8437,45.1735
Aa,-73.97222,45.88944
Aa,-77.8558,41.97447
Aa,-70.30033,43.82564
Aa,-77.48898,43.24679
Aa,-71.50918,45.26267
Aa,-73.75671,45.60717
Aa,-72.59466,44.5584
Aa,-75.89184,45.31018
Aa,-74.3614,45.97085
Aa,-72.19012,42.84818
Aa,-76.11869,44.59112
Aa,-79.74793,44.52223
Aa,-73.5387,45.47172
Aa,-74.4489,42.08537
Aa,-71.16436,44.10713
Aa,-72.09541,43.60196
Aa,-73.58393,44.77925
Aa,-74.77774,45.97542
Aa,-71.93677,44.01346
Aa,-77.73445,45.03325
Aa,-76.64748,44.42827
Aa,-71.99699,42.17327
Aa,-72.65438,42.31263
Aa,-74.23782,45.77188
Aa,-79.91672,45.20853
Aa,-76.42732,45.44271
Aa,-73.93772,45.58524
Aa,-71.98135,45.98577
Aa,-79.54781,43.71926
Aa,-79.26261,43.95461
Aa,-73.71669,45.23228
Aa,-76.24147,45.5944
Aa,-75.76714,44.58515
Aa,-71.63832,43.67255
Aa,-74.50979,45.02284
Aa,-75.97518,43.05148
Aa,-71.77817,45.52389
Aa,-78.89082,42.69871
Aa,-71.3633,44.85932
Aa,-75.80412,41.87896
Aa,-73.6251,43.00193
Aa,-72.98573,44.45409
Aa,-75.45277,44.05655
Aa,-76.53458,40.52165
Aa,-73.59288,43.25772
Aa,-73.48594,43.79767
Aa,-75.55042,43.40021
Aa,-73.24068,42.46362
Aa,-73.05167,44.12903
Aa,-73.85527,43.02199
Aa,-71.36794,43.17482
