spp,lon,lat
Lc,-71.50764,43.94558
Lc,-70.93142,42.42012
Lc,-71.62114,42.09092
Lc,-79.36889,42.47592
Lc,-75.21721,43.76945
Lc,-74.283,43.4024
Lc,-71.40253,42.33714
Lc,-75.1855,41.31601
Lc,-72.47247,42.64423
Lc,-73.83717,41.45291
Lc,-73.4769,42.47251
Lc,-72.39434,44.95836
Lc,-71.3242,42.74218
Lc,-71.60655,45.04225
Lc,-77.73072,44.00612
Lc,-75.21633,40.10459
Lc,-73.41102,45.4296
Lc,-77.51744,41.44148
Lc,-72.49752,45.22707
Lc,-72.556,41.60706
Lc,-72.65922,41.82378
Lc,-72.91253,44.34636
Lc,-75.83202,42.17113
Lc,-71.59677,42.60388
Lc,-73.06022,44.16874
Lc,-73.05342,43.17597
Lc,-74.14441,42.51459
Lc,-73.40189,44.2263
Lc,-74.95705,44.28941
Lc,-75.68626,42.52163
Lc,-77.78339,43.08996
Lc,-72.79011,44.32348
Lc,-76.48153,43.10781
Lc,-78.02095,42.58591
Lc,-74.58536,42.29585
Lc,-71.33015,42.5148
Lc,-73.17484,43.27669
Lc,-72.76976,44.51814
Lc,-78.26307,44.56299
Lc,-74.10015,42.08412
Lc,-73.13245,44.30955
Lc,-70.59976,43.40445
Lc,-72.05556,41.77342
Lc,-70.44813,43.60546
Lc,-75.96761,43.41926
Lc,-73.23295,42.57541
Lc,-72.54122,43.63268
Lc,-73.13496,40.78914
Lc,-78.60294,44.23442
Lc,-77.60896,42.97085
Lc,-73.15,45.55
Lc,-79.42086,40.85269
Lc,-74.69549,40.47251
Lc,-76.45095,42.47905
Lc,-74.47529,40.66923
Lc,-74.91676,41.23776
Lc,-77.7563,40.65015
Lc,-76.44172,43.36506
Lc,-73.21288,44.6228
Lc,-77.07618,41.04273
Lc,-73.21748,42.39007
Lc,-78.54289,42.88589
Lc,-73.09004,43.98864
Lc,-77.96819,42.68329
Lc,-76.12997,41.09534
Lc,-78.32222,44.47835
Lc,-76.77025,41.78849
Lc,-78.36988,44.37534
Lc,-79.46023,43.84343
Lc,-77.79711,40.77531
Lc,-70.24446,43.70587
Lc,-76.19888,43.69457
Lc,-79.67353,43.54753
Lc,-73.64335,41.22124
Lc,-73.45136,41.85321
Lc,-79.94412,44.04106
Lc,-72.91112,41.88935
Lc,-75.1714,40.58337
Lc,-72.32908,42.67406
Lc,-75.07567,40.14037
Lc,-79.85811,40.5867
Lc,-74.94269,40.33835
